"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Test Automation","Product Management","CREATE Products","0","0","5","0","0"
"API Test Automation","User Management","GET Users","0","0","8","0","0"
"API Test Automation","Product Management","DELETE Products","0","0","2","0","0"
"API Test Automation","Product Management","GET Products","0","0","11","0","0"
"API Test Automation","Product Management","UPDATE Products","0","0","3","0","0"
"API Test Automation","Cart Management","GET Carts","1","0","0","0","0"
